Scouter_Initials	Match_Number	Robot	Team_Number	human_player_at_amp	No_Show	auto_amp_Scored	auto_amp_missed	auto_speaker_scored	auto_speaker_missed	Goes_To_Centerline	can_do_ground_pickup	tele_amp_scored	tele_amp_missed	tele_speaker_scored	tele_speaker_missed	Note_in_Trap	Driver_Ability	Only_Scores_Near_Subwoofer	Died	Tipped_Over	Comments
AM	1	R1	8140	false	false	0	0	0	0	0	0	0	0	1	0	0	3	false	false	false	undefined
NS	1	R2	4121	false	false	0	0	1	0	true	true	0	0	8	1	0	5	false	false	false	undefined
AK	1	B1	8718	true	false	0	0	0	0	0	false	0	0	0	0	0	1	false	true	false	undefined
KL	1	B2	695	false	false	0	0	3	0	0	true	1	0	1	2	0	5	false	true	false	They got disabled mid match.still a really good
SL	1	B3	9767	false	false	0	0	0	0	false	false	0	2	0	0	0	1	false	false	false	Very very tippy and unstable
AM	2	R1	8145	false	false	0	0	0	0	0	true	0	0	4	1	0	3	false	false	false	undefined
NS	2	R2	3484	false	false	0	0	1	0	0	true	0	0	7	0	0	4	false	false	false	undefined
KL	2	B2	9643	false	false	0	0	0	0	0	0	0	0	0	1	0	3	false	false	false	Something happened to drive train 
AM	2	R3	1708	false	false	0	0	3	0	0	true	6	1	1	0	0	4	false	false	false	undefined
AK	2	B1	4085	true	false	0	0	0	1	0	true	0	0	3	1	0	3	false	false	false	undefined
SL	2	B3	2603	false	false	0	0	0	0	0	0	0	1	2	2	0	2	true	false	false	undefined
AM	3	R1	3954	false	false	0	0	0	0	0	0	4	0	0	0	0	3	false	false	false	undefined
NS	3	R2	5413	false	false	0	0	0	0	0	true	0	0	1	0	0	3	false	false	false	Intake to shooter system stopped working
AK	3	B1	6964	true	false	0	0	0	0	0	0	0	0	6	0	0	3	true	false	false	undefined
AM	3	R3	1787	false	false	0	0	2	0	true	true	0	0	4	0	1	5	false	false	false	Stockpiling well
KL	3	B2	7515	false	false	0	0	1	0	0	true	0	0	6	1	0	4	false	false	false	Hangs
SL	3	B3	4327	false	false	0	0	1	0	0	0	4	1	0	1	0	2	true	false	false	undefined
AM	4	R1	451	false	false	0	0	0	1	0	true	4	0	8	2	0	3	false	false	false	undefined
KL	4	B2	9622	false	false	0	0	0	0	0	0	0	0	4	0	0	3	false	false	false	undefined
NS	4	R2	7885	false	false	0	0	0	0	0	0	0	0	1	0	0	4	false	false	false	Defense
AM	4	R3	3504	true	false	0	0	1	1	0	true	5	0	0	4	0	3	false	false	false	undefined
SL	4	B3	7165	false	false	0	0	0	0	0	0	2	0	0	0	0	1	true	false	false	undefined
AM	5	R1	120	false	false	0	0	0	0	0	0	0	0	1	0	0	3	false	false	false	undefined
NS	5	R2	5811	false	false	0	0	3	0	0	true	1	0	4	0	0	4	false	false	false	undefined
AK	5	B1	291	true	false	0	0	0	1	0	true	0	0	2	1	0	3	false	false	false	
AM	5	R3	379	false	false	0	0	2	0	true	true	3	0	3	0	1	4	false	false	false	undefined
KL	5	B2	9075	false	false	0	0	0	0	0	0	1	0	0	0	0	3	false	false	false	Hangs, possibly broken arm
SL	5	B3	4504	false	false	0	0	0	1	0	0	0	0	2	2	0	2	true	false	false	They shoot with the chassis positioned diagonally
AM	6	R1	4027	false	false	0	0	2	0	0	true	4	0	0	0	0	3	false	false	false	undefined
NS	6	R2	7460	false	false	0	0	1	0	0	true	0	0	1	0	0	4	false	false	false	
AK	6	B1	8243	true	false	0	0	0	0	0	true	2	0	2	0	0	4	false	false	false	undefined
AM	6	R3	6181	false	false	0	0	2	0	true	true	0	0	5	3	1	3	false	false	false	undefined
HZ	6	B3	3138	false	false	0	0	0	0	0	0	4	1	0	0	0	1	false	false	false	Did not try to score speaker at all, only did amp.
KL	6	B2	48	false	false	0	0	3	0	0	true	2	0	6	2	0	3	false	false	false	Almost Hung 
KL	7	B2	8222	false	false	0	0	0	0	0	0	0	0	0	0	0	3	false	true	false	 
AM	7	R1	2172	false	false	0	0	2	0	0	0	0	0	3	2	0	3	false	false	false	undefined
NS	7	R2	4467	false	false	0	0	3	0	0	true	3	0	2	0	0	5	false	false	false	undefined
HZ	7	B3	4601	false	false	0	0	1	0	0	0	0	0	3	1	0	1	false	false	false	Slow like a snail
AM	7	R3	9597	false	false	0	0	1	0	0	true	4	0	0	1	0	2	false	false	false	undefined
AK	7	B1	4050	true	false	0	0	0	1	0	true	0	0	0	2	0	2	false	false	false	Shooter way too high
AK	8	B1	2399	true	false	0	0	2	0	0	0	1	0	6	1	0	5	false	false	false	Climbs
AM	8	R1	9653	false	false	0	0	0	0	0	false	0	0	0	2	0	3	false	false	false	undefined
NS	8	R2	8713	false	false	0	0	0	1	0	0	0	0	2	0	0	3	false	false	false	undefined
AM	8	R3	2252	false	false	0	0	0	0	0	0	2	0	1	2	0	3	true	false	false	undefined
HZ	8	B3	4145	false	false	0	0	2	0	0	0	2	1	5	2	0	4	false	false	false	Pretty solid. Good team 
AM	9	R1	4150	false	false	0	0	1	0	0	true	0	0	4	1	0	3	false	false	false	undefined
NS	9	R2	3777	false	false	0	0	1	0	0	0	0	0	0	0	0	3	false	true	false	undefined
HZ	9	B3	3954	false	false	0	0	0	0	0	0	0	0	4	0	0	2	false	false	false	Double hang
AK	9	B1	1405	true	false	0	0	1	0	0	true	5	0	0	0	0	4	false	false	false	Climbs, aggressive fast driving
KL	9	B2	7525	false	false	0	0	5	0	0	true	0	0	9	0	0	5	true	false	false	Very good
AM	9	R3	5667	false	false	0	0	1	3	0	true	3	0	5	2	0	5	false	false	false	undefined
HZ	10	B3	4121	false	false	0	0	0	0	0	0	0	0	11	1	0	4	false	false	false	Sorry forgot to watch auto. Accurate/good speaker
AK	10	B1	8718	true	false	0	0	0	0	0	0	0	0	0	0	0	1	false	false	false	Note holder very unstable and loose
KL	10	B2	1708	false	false	0	0	1	0	0	0	0	0	0	0	0	3	false	false	false	Drive train problems but still good effort to hang
AM	10	R1	5413	false	false	0	0	1	0	0	true	0	0	4	2	0	3	false	false	false	undefined
SL	10	R3	291	false	false	0	0	1	0	0	true	0	0	1	1	0	1	true	false	false	Driving extremely slow idk why
NS	10	R2	451	false	false	0	0	1	0	0	true	0	0	5	1	0	4	false	false	false	undefined
HZ	11	B3	9194	false	false	0	0	1	0	0	0	0	0	0	1	0	3	false	false	false	Did not do anything 
AK	11	B1	7460	false	false	0	0	1	0	0	true	0	0	0	0	0	3	false	false	false	Throw notes tactic
SL	11	R3	695	false	false	0	0	2	0	true	0	0	0	5	0	0	4	false	false	false	undefined
AM	11	R1	4085	false	false	0	0	0	0	0	true	0	0	3	1	0	3	false	false	false	undefined
NS	11	R2	4327	false	false	0	0	1	0	0	true	4	0	0	0	0	4	false	false	false	undefined
KL	11	B2	7885	false	false	0	0	0	0	0	0	1	0	0	0	0	3	false	false	false	Driving/scoring problems but hung
NS	12	R1	4601	false	false	0	0	0	1	0	0	0	0	3	1	0	2	true	false	false	undefined
SZ	12	R3	2172	false	false	0	0	1	0	0	true	0	0	2	3	0	3	true	false	false	undefined
RK	12	B2	120	false	false	0	0	0	0	0	true	0	0	2	0	0	3	true	false	false	undefined
Mt	12	B2	120	false	false	0	0	1	0	0	0	2	0	2	0	0	3	false	false	false	undefined
